latitude,longitude
-9.1529,-67.6558
-9.1561,-67.6489
-9.1571,-67.6418
-9.1538,-67.6338
-9.1533,-67.6270
-9.1450,-67.6086
-9.1435,-67.6010
-9.1362,-67.5963
-9.1236,-67.5955
-9.1170,-67.5895
-9.1072,-67.5930
-9.0881,-67.5908
-9.0770,-67.5951
-9.0748,-67.5941
-9.0726,-67.5897
-9.0702,-67.5893
-9.0629,-67.5910
-9.0552,-67.5982
-9.0525,-67.5975
-9.0487,-67.5913
-9.0447,-67.5882
-9.0308,-67.5879
-9.0252,-67.5853
-9.0128,-67.5886
-9.0078,-67.5934
-9.0040,-67.5949
-8.9916,-67.5929
-8.9824,-67.5947
-8.9763,-67.5919
-8.9721,-67.5878
-8.9713,-67.5806
-8.9670,-67.5770
-8.9657,-67.5728
-8.9532,-67.5634
-8.9491,-67.5580
-8.9440,-67.5441
-8.9208,-67.5315
-8.9129,-67.5333
-8.9093,-67.5360
-8.9087,-67.5315
-8.9132,-67.5216
-8.9103,-67.5106
-8.9111,-67.5028
-8.9098,-67.4982
-8.9061,-67.4929
-8.8988,-67.4867
-8.8841,-67.4833
-8.8756,-67.4791
-8.8749,-67.4770
-8.8793,-67.4726
-8.8797,-67.4685
-8.8684,-67.4507
-8.8642,-67.4483
-8.8525,-67.4492
-8.8473,-67.4471
-8.8397,-67.4329
-8.8234,-67.4184
-8.8195,-67.4195
-8.8188,-67.4215
-8.8084,-67.4286
-8.7765,-67.4296
-8.7711,-67.4232
-8.7699,-67.4117
-8.7607,-67.4134
-8.7514,-67.4072
-8.7462,-67.4062
-8.7451,-67.3873
-8.7530,-67.3781
-8.7540,-67.3722
-8.7505,-67.3558
-8.7455,-67.3495
-8.7387,-67.3453
-8.7413,-67.3399
-8.7473,-67.3362
-8.7699,-67.3361
-8.7830,-67.3281
-8.7890,-67.3270
-8.7930,-67.3282
-8.7991,-67.3225
-8.8018,-67.3229
-8.8070,-67.3278
-8.8208,-67.3262
-8.8318,-67.3221
-8.8393,-67.3152
-8.8423,-67.3043
-8.8400,-67.2953
-8.8367,-67.2934
-8.8304,-67.2928
-8.8383,-67.2852
-8.8625,-67.2804
-8.8762,-67.2662
-8.8849,-67.2782
-8.8868,-67.2792
-8.8918,-67.2778
-8.8953,-67.2758
-8.9007,-67.2681
-8.9068,-67.2659
-8.9057,-67.2586
-8.9092,-67.2535
-8.9224,-67.2444
-8.9260,-67.2439
-8.9392,-67.2482
-8.9512,-67.2451
-8.9539,-67.2347
-8.9519,-67.2243
-8.9533,-67.2208
-8.9568,-67.2181
-8.9702,-67.2187
-8.9836,-67.2159
-8.9925,-67.2094
-9.0073,-67.2104
-9.0178,-67.2069
-9.0199,-67.2031
-9.0172,-67.1957
-9.0162,-67.1795
-9.0211,-67.1672
-9.0254,-67.1640
-9.0275,-67.1663
-9.0263,-67.1720
-9.0313,-67.1769
-9.0333,-67.1865
-9.0424,-67.1912
-9.0460,-67.2011
-9.0604,-67.2217
-9.0704,-67.2310
-9.0818,-67.2378
-9.0851,-67.2417
-9.0910,-67.2445
-9.1009,-67.2458
-9.1058,-67.2511
-9.1137,-67.2552
-9.1150,-67.2580
-9.1100,-67.2629
-9.1104,-67.2650
-9.1203,-67.2695
-9.1314,-67.2840
-9.1376,-67.2873
-9.1470,-67.2855
-9.1539,-67.2806
-9.1571,-67.2801
-9.1680,-67.2850
-9.1720,-67.2895
-9.1964,-67.2842
-9.2069,-67.2896
-9.2085,-67.2880
-9.2081,-67.2771
-9.2039,-67.2697
-9.2038,-67.2664
-9.2091,-67.2622
-9.2200,-67.2607
-9.2287,-67.2667
-9.2379,-67.2658
-9.2418,-67.2732
-9.2490,-67.2719
-9.2520,-67.2731
-9.2513,-67.2869
-9.2577,-67.2976
-9.2717,-67.3013
-9.2829,-67.2945
-9.2952,-67.3037
-9.3019,-67.3056
-9.3046,-67.3154
-9.3135,-67.3188
-9.3195,-67.3153
-9.3200,-67.3074
-9.3246,-67.3028
-9.3245,-67.2962
-9.3339,-67.2935
-9.3367,-67.2893
-9.3377,-67.2748
-9.3395,-67.2703
-9.3484,-67.2729
-9.3510,-67.2837
-9.3575,-67.2907
-9.3644,-67.2932
-9.3746,-67.2913
-9.3784,-67.2940
-9.3830,-67.3009
-9.3890,-67.3019
-9.4079,-67.2995
-9.4079,-67.2912
-9.4214,-67.2814
-9.4362,-67.2841
-9.4380,-67.2820
-9.4396,-67.2741
-9.4402,-67.2618
-9.4518,-67.2566
-9.4625,-67.2564
-9.4770,-67.2612
-9.4780,-67.2701
-9.4807,-67.2764
-9.4795,-67.2778
-9.4827,-67.2847
-9.4828,-67.2925
-9.4888,-67.2973
-9.4928,-67.2954
-9.5044,-67.2831
-9.5037,-67.2687
-9.5078,-67.2713
-9.5140,-67.2631
-9.5187,-67.2618
-9.5225,-67.2628
-9.5261,-67.2610
-9.5284,-67.2634
-9.5281,-67.2693
-9.5341,-67.2764
-9.5419,-67.2773
-9.5512,-67.2812
-9.5505,-67.2909
-9.5423,-67.2938
-9.5386,-67.3004
-9.5425,-67.3075
-9.5560,-67.3189
-9.5637,-67.3316
-9.5597,-67.3504
-9.5642,-67.3579
-9.5717,-67.3587
-9.5767,-67.3566
-9.5892,-67.3472
-9.5944,-67.3367
-9.5987,-67.3344
-9.6157,-67.3365
-9.6176,-67.3413
-9.6179,-67.3484
-9.6232,-67.3571
-9.6255,-67.3578
-9.6307,-67.3562
-9.6380,-67.3448
-9.6434,-67.3410
-9.6466,-67.3406
-9.6485,-67.3464
-9.6522,-67.3475
-9.6554,-67.3447
-9.6590,-67.3369
-9.6621,-67.3358
-9.6737,-67.3412
-9.6727,-67.3467
-9.6738,-67.3536
-9.6688,-67.3601
-9.6738,-67.3636
-9.6799,-67.3626
-9.6873,-67.3548
-9.6928,-67.3548
-9.7001,-67.3469
-9.7134,-67.3458
-9.7235,-67.3482
